training set,testing set,MSE,RMSE,MAE,Execution Time
ml-100k/u1.base,ml-100k/u1.test,1.9025921387216487,1.379344822269489,1.1818684937209607,10195
ml-100k/u2.base,ml-100k/u2.test,1.9000276434039804,1.3784149024890802,1.1800652808093945,6517
ml-100k/u3.base,ml-100k/u3.test,1.8919028480165956,1.3754645935161673,1.1783366748334452,5377
ml-100k/u4.base,ml-100k/u4.test,1.8786542817042968,1.3706400992617636,1.1730543877181654,5433
ml-100k/u5.base,ml-100k/u5.test,1.8681635644746493,1.3668078008537445,1.1686585291940668,5217
ml-100k/ua.base,ml-100k/ua.test,1.9512125251830288,1.3968580905671946,1.2008035300836668,5214
ml-100k/ub.base,ml-100k/ub.test,1.9936820083304956,1.411978048105032,1.2134460078406009,5083
