training set,testing set,MSE,RMSE,MAE,Execution Time
ml-100k/u1.base,ml-100k/u1.test,4.427143286587118,2.1040777757932614,1.6467431428213226,30514
ml-100k/u2.base,ml-100k/u2.test,4.241328051015583,2.059448482243628,1.6055222166704628,27714
ml-100k/u3.base,ml-100k/u3.test,4.3741941518384975,2.0914574229083644,1.608925907479106,27164
ml-100k/u4.base,ml-100k/u4.test,4.352452140584671,2.086253134349873,1.6259192043203685,26687
ml-100k/u5.base,ml-100k/u5.test,4.40586436744526,2.099015094620632,1.6284658627202895,27124
ml-100k/ua.base,ml-100k/ua.test,4.504793860930296,2.1224499666494605,1.6425364580036836,26640
ml-100k/ub.base,ml-100k/ub.test,4.407712564273316,2.099455301804093,1.6357196576385744,26861
