trainingSet,testingSet,MSE,RMSE,MAE,ExecutionTime,MAEoverRMSE
u1.base,u1.test,4.4271432866,2.1040777758,1.6467431428,30514,0.7826436654
u2.base,u2.test,4.241328051,2.0594484822,1.6055222167,27714,0.7795884338
u3.base,u3.test,4.3741941518,2.0914574229,1.6089259075,27164,0.769284562
u4.base,u4.test,4.3524521406,2.0862531343,1.6259192043,26687,0.779348957
u5.base,u5.test,4.4058643674,2.0990150946,1.6284658627,27124,0.775823798
ua.base,ua.test,4.5047938609,2.1224499666,1.642536458,26640,0.7738870097
ub.base,ub.test,4.4077125643,2.0994553018,1.6357196576,26861,0.7791162099
